127.0.0.1 - - [01/Apr/2023:19:25:40 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:25:41 +0700] "GET /WebChiaSeHinhAnh/Login.jsp HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:26:56 +0700] "GET /WebChiaSeHinhAnh/Admin_Login.jsp HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:03 +0700] "POST /WebChiaSeHinhAnh/adminLoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:03 +0700] "GET /WebChiaSeHinhAnh/adminHomeControl HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:03 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:31 +0700] "POST /WebChiaSeHinhAnh/adminLoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:31 +0700] "GET /WebChiaSeHinhAnh/adminHomeControl HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:31 +0700] "GET /WebChiaSeHinhAnh/dashboard.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:31 +0700] "GET /WebChiaSeHinhAnh/css/Admin_dashboard.css HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:38 +0700] "GET /WebChiaSeHinhAnh/adminHomeControl?index=2 HTTP/1.1" 200 6611
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:38 +0700] "GET /WebChiaSeHinhAnh/dashboard.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:41 +0700] "GET /WebChiaSeHinhAnh/adminHomeControl?index=1 HTTP/1.1" 200 10017
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:27:41 +0700] "GET /WebChiaSeHinhAnh/dashboard.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:32:39 +0700] "GET /WebChiaSeHinhAnh/adminHomeControl?index=2 HTTP/1.1" 200 7024
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:32:39 +0700] "GET /WebChiaSeHinhAnh/dashboard.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:32:42 +0700] "GET /WebChiaSeHinhAnh/adminHomeControl?index=1 HTTP/1.1" 200 10430
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:32:42 +0700] "GET /WebChiaSeHinhAnh/dashboard.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Apr/2023:19:32:48 +0700] "GET /WebChiaSeHinhAnh/adminMemberControl HTTP/1.1" 404 790
